id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
3097,BMW,520,mechanical,silver,333000,1990,gasoline,gasoline,2,sedan,rear,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3098,Mazda,323,mechanical,blue,285200,1998,gasoline,gasoline,1.6,hatchback,front,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
3099,Mitsubishi,Lancer,mechanical,other,400000,1992,gasoline,gasoline,1.5,hatchback,front,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3100,Renault,Scenic,automatic,green,220000,2000,gasoline,gasoline,1.6,minivan,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3101,Toyota,Carina E,mechanical,other,491000,1992,gasoline,gasoline,1.6,sedan,front,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3102,Chrysler,Pacifica,automatic,black,200000,2004,gasoline,gasoline,3.5,minivan,all,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3103,Mercedes-Benz,GL350,automatic,white,190000,2012,diesel,diesel,3,suv,all,12,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3104,Mitsubishi,Galant,automatic,grey,260000,2003,gasoline,gasoline,2.4,sedan,front,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
3105,Volkswagen,Passat,automatic,black,204000,2010,gasoline,gasoline,1.4,sedan,front,9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
3106,Renault,Laguna,mechanical,red,160000,1999,gasoline,gasoline,1.8,hatchback,front,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3107,Volkswagen,Passat,mechanical,silver,220000,2007,diesel,diesel,2,universal,front,15,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3108,Peugeot,406,mechanical,black,265000,2003,gasoline,gasoline,1.8,sedan,front,13,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3109,Lancia,Zeta,mechanical,grey,320000,1997,gasoline,gasoline,2,minivan,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3110,Mazda,3,automatic,red,58000,2014,gasoline,gasoline,1.5,sedan,front,6,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3111,Opel,Astra,mechanical,black,250000,2011,gasoline,gasoline,1.4,hatchback,front,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3112,Skoda,Octavia,mechanical,black,200000,2014,diesel,diesel,1.6,universal,front,13,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3113,Peugeot,Partner Tepee,mechanical,grey,147000,2012,gasoline,gasoline,1.6,minivan,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3114,Ford,Transit,mechanical,blue,410000,1997,diesel,diesel,2.5,minibus,rear,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3115,Volvo,S60,automatic,other,150000,2012,gasoline,gasoline,1.6,sedan,front,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
3116,Ford,Mondeo,mechanical,silver,347000,2000,gasoline,gasoline,1.8,hatchback,front,12,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3117,Renault,Logan,mechanical,silver,34000,2017,gasoline,gasoline,1.6,sedan,front,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3118,Toyota,Avensis,mechanical,grey,271500,2009,gasoline,gasoline,1.8,universal,front,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3119,Ford,Escort,mechanical,green,320000,1995,gasoline,gasoline,1.6,hatchback,front,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3120,Opel,Astra,mechanical,white,202000,2009,gasoline,gasoline,1.6,universal,front,30,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3121,Mitsubishi,Pajero,automatic,black,203000,2011,diesel,diesel,3.2,suv,all,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3122,Volkswagen,Golf,mechanical,blue,360000,1994,gasoline,gasoline,1.8,universal,front,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3123,Skoda,Octavia,automatic,black,180000,2011,gasoline,gasoline,1.2,universal,front,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
3124,Renault,Logan,mechanical,white,144000,2014,gasoline,gasoline,1.6,sedan,front,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
3125,Ford,Fiesta,mechanical,blue,380000,1999,diesel,diesel,1.8,hatchback,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3126,SsangYong,Rexton,automatic,black,345556,2002,diesel,diesel,2.9,suv,all,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3127,Chrysler,Pacifica,automatic,green,317000,2006,gasoline,gasoline,3.5,minivan,front,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3128,Ford,Fusion,automatic,white,56000,2016,hybrid-petrol,gasoline,2,sedan,front,12,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3129,Toyota,Avensis,mechanical,blue,490000,2001,diesel,diesel,2,sedan,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3130,Citroen,Berlingo,mechanical,blue,400000,1998,gasoline,gasoline,1.8,universal,front,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3131,Peugeot,407,automatic,silver,264000,2004,gasoline,gasoline,2,universal,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3132,BMW,523,mechanical,green,400000,1999,gasoline,gasoline,2.5,sedan,rear,10,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3133,Land Rover,Range Rover Evoque,automatic,white,145000,2012,gasoline,gasoline,2,suv,all,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3134,Chrysler,Neon,automatic,other,350000,2000,gasoline,gasoline,2,sedan,front,8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3135,Volkswagen,Golf,mechanical,black,160200,2008,gasoline,gasoline,1.4,hatchback,front,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3136,Renault,Twingo,mechanical,green,400000,1995,gasoline,gasoline,1.1,hatchback,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3137,Peugeot,3008,automatic,silver,169000,2015,diesel,diesel,1.6,suv,front,15,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3138,Renault,Laguna,mechanical,silver,327443,2002,diesel,diesel,1.9,liftback,front,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3139,Citroen,C4 Grand Picasso,mechanical,grey,219000,2008,diesel,diesel,1.6,minivan,front,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3140,Volkswagen,Passat,mechanical,blue,555555,1988,diesel,diesel,1.6,universal,front,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3141,Hyundai,Accent,mechanical,silver,138000,2013,gasoline,gasoline,1.6,sedan,front,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3142,Ford,Galaxy,automatic,black,145000,2016,diesel,diesel,2,minivan,all,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3143,Ford,Contour,automatic,silver,123456,1998,gasoline,gasoline,2,sedan,front,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3144,Audi,80,mechanical,green,355000,1991,gasoline,gasoline,1.6,sedan,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3145,Skoda,Yeti,mechanical,black,140000,2011,gasoline,gasoline,1.2,suv,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3146,Mercedes-Benz,ML270,automatic,blue,350000,2000,diesel,diesel,2.7,suv,all,10,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3147,Peugeot,407,mechanical,silver,184000,2009,diesel,diesel,1.6,universal,front,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3148,Citroen,Berlingo,mechanical,white,200000,2002,diesel,diesel,1.9,van,front,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3149,Mercedes-Benz,ML400,automatic,black,227000,2003,diesel,diesel,4,suv,all,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3150,Hyundai,ix35,automatic,black,94300,2012,gasoline,gasoline,2,suv,all,8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3151,Peugeot,307,mechanical,blue,263000,2005,diesel,diesel,1.6,universal,front,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3152,Audi,A6,automatic,black,300000,2006,diesel,diesel,2.7,sedan,all,7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3153,Iveco,Daily,mechanical,white,123456,1995,diesel,diesel,2.5,van,rear,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3154,Fiat,Bravo,mechanical,black,200000,1998,gasoline,gasoline,1.6,hatchback,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3155,Opel,Astra,mechanical,blue,295000,2002,gasoline,gasoline,1.4,universal,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3156,Kia,Rio,mechanical,silver,350000,2002,gasoline,gasoline,1.3,hatchback,front,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3157,Audi,A4,automatic,white,195500,2008,diesel,diesel,2,sedan,front,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3158,Honda,Shuttle,automatic,green,296000,1996,gasoline,gasoline,2.2,minivan,front,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3159,Chevrolet,Trax,automatic,white,40902,2016,gasoline,gasoline,1.4,suv,front,9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
3160,Audi,A6 Allroad,automatic,grey,295400,2006,gasoline,gasoline,3.2,universal,all,12,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3161,BMW,320,automatic,black,230000,2012,diesel,diesel,2,sedan,rear,13,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3162,Lexus,ES,automatic,black,180252,2007,gasoline,gasoline,3.5,sedan,front,11,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3163,Nissan,X-Trail,automatic,black,115865,2015,gasoline,gasoline,2,suv,all,23,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
3164,Skoda,Octavia,mechanical,grey,101000,2009,gasoline,gasoline,1.4,liftback,front,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3165,Citroen,XM,mechanical,silver,257000,1993,diesel,diesel,2.1,hatchback,front,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3166,BMW,728,automatic,blue,560000,1997,gasoline,gasoline,2.8,sedan,rear,9,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
3167,Volkswagen,Passat,mechanical,black,182000,2008,gasoline,gasoline,1.8,sedan,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3168,Mercedes-Benz,Sprinter,automatic,red,346300,2007,diesel,diesel,2.2,minibus,rear,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3169,Peugeot,406,mechanical,black,240000,1996,gasoline,gasoline,1.8,sedan,front,8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
3170,Chevrolet,Spark,mechanical,black,100000,2010,gasoline,gasoline,1,hatchback,front,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3171,BMW,X1,mechanical,black,149000,2010,diesel,diesel,2,suv,rear,19,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3172,Honda,Civic,automatic,brown,199000,2009,hybrid-petrol,gasoline,1.4,sedan,front,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3173,BMW,528,automatic,blue,320000,1997,gasoline,gasoline,2.8,sedan,rear,12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
3174,Nissan,Primera,mechanical,black,368000,2001,gasoline,gasoline,2,universal,front,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3175,Mitsubishi,Lancer,automatic,silver,235000,2007,gasoline,gasoline,2,sedan,front,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3176,Skoda,Octavia,mechanical,other,499000,2001,diesel,diesel,1.9,liftback,front,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3177,Volkswagen,Passat,mechanical,black,325000,2004,diesel,diesel,1.9,universal,front,12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3178,Mazda,2,mechanical,white,100000,2011,gasoline,gasoline,1.3,hatchback,front,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
3179,Opel,Tigra,mechanical,black,178000,1996,gasoline,gasoline,1.4,coupe,front,17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3180,Chrysler,Concorde,automatic,brown,183465,2000,gasoline,gasoline,2.7,sedan,front,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3181,Rover,200-Series,mechanical,red,350000,1998,gasoline,gasoline,1.6,hatchback,front,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3182,Audi,A8,automatic,other,290000,2004,gasoline,gasoline,4.2,sedan,all,14,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3183,Kia,Sportage,mechanical,black,33300,2013,gasoline,gasoline,2,hatchback,front,13,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3184,Toyota,Yaris,mechanical,white,135000,2008,gasoline,gasoline,1,hatchback,front,7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3185,Peugeot,3008,automatic,grey,146000,2016,diesel,diesel,1.6,suv,front,18,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3186,Audi,A6,automatic,other,260000,2006,gasoline,gasoline,3.2,universal,all,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3187,Kia,Sephia,mechanical,blue,240000,1995,gasoline,gasoline,1.6,sedan,front,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3188,Renault,Laguna,automatic,black,222222,2005,diesel,diesel,2.2,universal,front,8,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
3189,Peugeot,307,mechanical,grey,250000,2001,diesel,diesel,2,hatchback,front,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3190,Dodge,Intrepid,automatic,silver,200000,2002,gasoline,gasoline,2.7,sedan,front,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3191,Nissan,Primera,mechanical,red,300000,1994,gasoline,gasoline,1.6,sedan,front,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3192,Renault,Megane Scenic,mechanical,blue,287000,2000,diesel,diesel,1.9,minivan,front,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3193,Peugeot,407,mechanical,other,298000,2005,diesel,diesel,1.6,sedan,front,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3194,Ford,Focus,automatic,silver,176935,2007,gasoline,gasoline,1.6,sedan,front,16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3195,Volkswagen,Caddy,mechanical,grey,330000,2006,diesel,diesel,1.9,minivan,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3196,Seat,Alhambra,mechanical,white,225000,2008,diesel,diesel,1.9,minivan,front,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
3197,Kia,Clarus,automatic,black,307824,1998,gasoline,gasoline,1.8,sedan,front,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3198,Alfa Romeo,159,mechanical,silver,176000,2006,gasoline,gasoline,1.9,universal,front,8,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3199,Opel,Ascona,mechanical,red,200000,1985,gasoline,gasoline,1.6,sedan,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3200,Ford,Fusion,automatic,black,130000,2013,gasoline,gasoline,1.5,sedan,front,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3201,Renault,Laguna,mechanical,white,291000,2002,diesel,diesel,1.9,hatchback,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3202,Mercedes-Benz,S350,automatic,black,176000,2009,diesel,diesel,3.5,sedan,rear,8,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3203,BMW,528,automatic,black,196000,2011,gasoline,gasoline,3,sedan,rear,14,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3204,Porsche,Cayenne,automatic,grey,30000,2005,gasoline,gasoline,4.5,suv,all,12,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3205,Infiniti,FX,automatic,orange,238183,2006,gasoline,gasoline,3.5,suv,rear,5,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3206,BMW,740,automatic,black,290000,2005,gasoline,gasoline,4,sedan,rear,10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3207,BMW,320,automatic,green,340000,1999,gasoline,gasoline,2,sedan,rear,15,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3208,Mercedes-Benz,CL500,automatic,green,180000,2007,gasoline,gasoline,5.5,coupe,rear,10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3209,Renault,Megane,mechanical,silver,300000,2010,diesel,diesel,1.5,hatchback,front,12,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3210,Renault,Megane Scenic,mechanical,green,354000,1997,diesel,diesel,1.9,minivan,front,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3211,Audi,A8,automatic,silver,350000,1998,diesel,diesel,2.5,sedan,all,4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3212,Opel,Vectra,mechanical,other,407698,1996,gasoline,gasoline,1.8,universal,front,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
3213,Volkswagen,Golf,mechanical,grey,157000,2015,diesel,diesel,1.6,universal,front,9,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3214,Nissan,Pathfinder,automatic,black,152000,2011,diesel,diesel,3,suv,all,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3215,Opel,Astra,automatic,blue,108000,2010,gasoline,gasoline,1.8,sedan,front,17,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3216,Volkswagen,Passat,automatic,black,200000,2010,diesel,diesel,2,sedan,front,19,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3217,Chrysler,Pacifica,automatic,other,350000,2004,gasoline,gasoline,3.5,minivan,front,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3218,Audi,A6,automatic,black,97400,2014,gasoline,gasoline,2,sedan,front,9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3219,Honda,CR-V,automatic,brown,300000,2003,gasoline,gasoline,2,suv,all,9,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
3220,Renault,Megane Scenic,mechanical,blue,200000,1999,gasoline,gasoline,1.6,minivan,front,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3221,Renault,Laguna,mechanical,silver,470000,1999,diesel,diesel,1.9,sedan,front,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3222,Honda,Accord,automatic,black,185075,2009,gasoline,gasoline,2.4,coupe,front,12,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
3223,Toyota,Avensis,mechanical,grey,145000,2010,gasoline,gasoline,1.8,sedan,front,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3224,Porsche,Cayenne,automatic,black,138000,2011,gasoline,gasoline,4.8,suv,all,17,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3225,Land Rover,Range Rover,mechanical,yellow,60000,1977,gasoline,gasoline,4,suv,all,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3226,Opel,Astra,mechanical,green,370000,1998,diesel,diesel,1.7,universal,front,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3227,Skoda,Fabia,mechanical,blue,300000,2000,gasoline,gasoline,1.4,hatchback,front,17,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3228,Peugeot,208,automatic,other,54900,2014,gasoline,gasoline,1.6,hatchback,front,4,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
3229,Volkswagen,Caddy,mechanical,white,239000,2013,diesel,diesel,1.6,minivan,front,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3230,Ford,Focus,automatic,black,25000,2017,gasoline,gasoline,1.6,hatchback,front,14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
3231,Volvo,850,automatic,black,493000,1994,gasoline,gasoline,2.5,sedan,front,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3232,Audi,A4,automatic,white,229000,2008,gasoline,gasoline,1.8,sedan,front,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
3233,BMW,316,automatic,brown,84000,2014,gasoline,gasoline,1.6,sedan,rear,8,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3234,Peugeot,306,mechanical,grey,242000,1994,gasoline,gasoline,1.1,hatchback,front,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3235,BMW,X5,automatic,white,196000,2010,gasoline,gasoline,4.8,suv,all,29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3236,Mercedes-Benz,Vito,mechanical,orange,295000,1999,diesel,diesel,2.2,minibus,front,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3237,Honda,FR-V,mechanical,grey,255000,2006,gasoline,gasoline,2,hatchback,front,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
3238,Alfa Romeo,156,mechanical,green,306000,1998,gasoline,gasoline,2,sedan,front,16,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3239,Subaru,Forester,automatic,green,228527,1999,gasoline,gasoline,2.5,universal,all,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3240,Toyota,Yaris,mechanical,silver,53000,2015,gasoline,gasoline,1,hatchback,front,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
